가사,감정
 꽃 잎이 내 맘을 흔들고 꽃 잎이 내 눈을 적시고 아름다운 기억 푸른 하늘만 바라본다 꼬마야 약해지지마 슬픔을 혼자 안고 살지는 마 아빠야 어디를 가야 당신의 마음처럼 살 수 있을까 가장 큰 별이 보이는 우리 동네 따뜻한 햇살 꽃이 피는 봄에 그댈 위로해요 그댈 사랑해요 그대만의 노래로 뚜루뚜뚜두 두두두 뚜루뚜뚜두 두두두 뚜루뚜뚜두 두두두 하늘바라기 하늘만 멍하니 가장 큰 하늘이 있잖아 그대가 내 하늘이잖아 후회 없는 삶들 가난했던 추억 난 행복했다 아빠야 약해지지마 빗속을 걸어도 난 감사하니깐 아빠야 어디를 가야 당신의 마음처럼 살 수 있을까 가장 큰 별이 보이는 우리 동네 따뜻한 햇살 꽃이 피는 봄에 그댈 위로해요 그댈 사랑해요 그대만의 노래로 따뜻한 바람이 부는 봄 내음 그대와 이 길을 함께 걷네 아련한 내 맘이 겨우 닿는 곳에 익숙한 골목 뒤에 숨어있다가 그대 오기만 오기만 기다린 그때가 자꾸만 떠올라 가장 큰 별이 보이는 우리 동네 따뜻한 햇살 꽃이 피는 봄에 그댈 위로해요 그댈 사랑해요 그대만의 노래로 뚜루뚜뚜두 두두두 뚜루뚜뚜두 두두두 뚜루뚜뚜두 두두두 하늘바라기 하늘만 멍하니  ,indifference
 우린 오래전부터 어쩔 수 없는 거였어 우주 속을 홀로 떠돌며 많이 외로워하다가 어느 순간 태양과 달이 겹치게 될 때면 모든 것을 이해할 수 있을 거야 하늘에선 비만 내렸어 뼈 속까지 다 젖었어 얼마 있다 비가 그쳤어 대신 눈이 내리더니 영화서도 볼 수 없던 눈보라가 불 때 너는 내가 처음 봤던 눈동자야 낯익은 거리들이 거울처럼 반짝여도 니가 건네주는 커피 위에 살얼음이 떠도 우리 둘은 얼어붙지 않을 거야 바다 속의 모래까지 녹일 거야 춤을 추며 절망이랑 싸울 거야 얼어붙은 아스팔트 도시 위로 숨이 막힐 거 같이 차가웠던 공기 속에 너의 체온이 내게 스며들어 오고 있어 우리 둘은 얼어붙지 않을 거야 바다 속의 모래까지 녹일 거야 춤을 추며 절망이랑 싸울 거야 얼어붙은 아스팔트 도시 위로  너와 나의 세대가 마지막이면 어떡해 또 다른 빙하기가 찾아오면 어떡해 긴 세월에 변하지 않을 그런 사랑은 없겠지만 그 사랑을 기다려줄 그런 사람을 찾는 거야 긴 세월에 변하지 않을 그런 사랑은 없겠지만 그 사랑을 기다려줄 그런 사람을 찾는 거야 긴 세월에 변하지 않을 그런 사랑은 없겠지만 그 사랑을 기다려줄 그런 사람을 찾는 거야 긴 세월에 변하지 않을 그런 사랑은 없겠지만 그 사랑을 기다려줄 그런 사람을 찾는 거야 ,indifference
" 약속해요 이 순간이 다 지나고 다시 보게 되는 그날 모든걸 버리고 그대 곁에 서서 남은 길을 가리란 걸 인연이라고 하죠 거부 할 수가 없죠 내 생에 이처럼 아름다운 날 또 다시 올 수 있을까요 고달픈 삶의 길에 당신은 선물인걸 이 사랑이 녹슬지 않도록 늘 닦아 비출께요 취한듯 만남은 짧았지만 빗장 열어 자리했죠 맺지 못한데도 후회하지 않죠 영원한건 없으니까 운명이라고 하죠 거부 할 수가 없죠 내 생에 이처럼 아름다운 날 또 다시 올 수 있을까요 하고픈 말 많지만 당신은 아실테죠 먼길 돌아 만나게 되는 날 다신 놓지 말아요 이 생에 못다한 사랑 이 생에 못다한 인연 먼길 돌아 다시 만나는 날 나를 놓지 말아요<br <="""" div=""""/> <button class=""button_more arrow_d"" data-control=""expose"" data-expose-target=""#d_video_summary"" data-expose-type=""more"" title=""인연 가사 더보기"" type=""button""> <span class=""text"">펼치기</span> <i class=""button_icons etc arrow_d""></i> </button> ",indifference
 옅은 바람 냄새에 두 눈을 감아본다 낡은 가슴 여전한 떨림 그대가 그대가 온다 어렴풋이 피어오르는 그 옛날의 기억이 두 눈에 소리 없이 흘러 이 가슴을 울려온다 내 맘속에 그대가 분다 그 시절 그때처럼 웃으며 나에게 불어와 소리 없이 그대가 분다 내 가슴 한가운데 보고 싶은 그대가 분다 앙상해진 너의 계절에 가슴이 시려 와도 돌아보면 어제 같은 날들 그 시절은 영원하다 내 맘속에 그대가 분다 그 시절 그때처럼 웃으며 나에게 불어와 소리 없이 그대가 분다 내 가슴 한가운데 보고 싶은 그대가 분다 정말 사랑했구나 그댈 매일 돌아보며 사는 나 내 맘속에 그대가 분다 어디선가 그대가 운다 안아주고 싶지만 자꾸만 멀어지잖아 온 맘 다해 그댈 부른다 이 세상 한가운데 눈물로 그댈 불러본다 하루 종일 그대가 분다  ,indifference
 결혼에 대하여 예쁜 단어를 골라 예쁜 칭찬을 하고 예쁜 밤을 만들 것 결혼에 대하여 좋은 사람을 만나 좋은 사랑을 하고 좋은 집을 갖는 것 나 그게 어려워 혼자 TV를 트나 봐 편한 옷을 입고 나가 독한 소주를 사나 봐 혼자 남산에 가나 봐 혼자 한강을 걷나 봐 혼자 저녁을 먹나 봐 뭔가 다 어려우니까 에 에 에 에 에 에에에 에 에에에 에 에에에 에 에에에 에 에에에 에 에에에 에 에에 에 에에 에 에에에 에에에 에 에에에 에 에에에 에 에에에 에 에에에 에 에에에 에 에에 에 에에 쓰다 남은 위로라면 그냥 지나가도 돼 사랑 없이 사는 것도 들먹이진 말아줘 나를 보면 지금보다 울먹이지 말도록 혼자 먹는 저녁 말고 사랑 너머에 관하여 가끔 나쁜 얼굴에 각진 단어를 골라 아프게 말하고 남이 되잖아요 내 마음은 그래 나 그게 두려워 나 그게 어려워 TV나 보는 중 TV나 보는 중 TV나 보는 중 에 에 에 에 에에에 에 에에에 에 에에에 에 에에에 에 에에에 에 에에에 에 에에 에 에에 에 에에에 에에에 에 에에에 에 에에에 에 에에에 에 에에에 에 에에에 에 에에  ,indifference
 한 사람을 너무 사랑했던거죠  얼마나 나를 아프게 할지도 모르고  기뻐했죠 이 세상에 그댈 가진 사람 나 하나 뿐이라며 흰 눈이 내리던 어느 날 그 고운 입술로 날 사랑한다고  안녕이란 말을 하고 그대가 내 곁을 떠나갔죠  몰랐었죠 우리 헤어진다는건  정말 그대가 내 사랑인줄 알았는데 좋아했죠 그대 나와 같은 생각하고 있을거라 믿었죠 흰 눈이 내리던 어느 날 그 고운 입술로 날 사랑한다고 안녕이란 말을 하고 그대가 내 곁을 떠나갔죠 하얀 눈위에 멀어져 가는 그대가 남겨둔 발자국 세며 멍하니 바보처럼 떠나가는 뒷모습 보면서 울었죠 흰 눈이 내리던 어느 날 그 고운 입술로 날 사랑한다고 안녕이란 말을 하고 그대가 내 곁을 떠나갔죠 흰 눈이 내리던 어느 날 그 고운 입술로 날 사랑한다고 안녕이란 말을 하고 그대가 내 곁을 떠나갔죠 내 곁을 떠나갔죠  ,indifference
 떠나지 말아 주오 그댈 품었던 나를 마음에 물들어 짙어진 사랑 이게 끝은 아니길 그대와 달 아래 걷고 싶소 단 한 번이라도 좋겠소 꽃 가루 날리는 저 언덕 위에 그대의 손잡고 가리 봄바람에 날리는 저 꽃잎에 담아서 이 마음 전하면 그대 알까요 꺼내지 못했던 말 그대와 달 아래 걷고 싶소 단 한 번이라도 좋겠소 꽃 가루 날리는 저 언덕 위에 그대의 손잡고 가리 저만치 멀어지는데 점점 멀어지는데 멈출 수 없는 이 사랑 나만 왜 이렇게 아픈 건지 하루라도 단 한 번이라도 내 곁에 머물러 준다면 심장이 닿을 만큼 그댈 안고 영원히 놓지 않겠소 이 봄이 지나더라도  ,indifference
 세상이란 게 제법 춥네요 당신의 안에서 살던 때 보다 모자람 없이 주신 사랑이 과분하다 느낄 때쯤 난 어른이 됐죠 한 송이 꽃을 피우려 작은 두 눈에 얼마나 많은 비가 내렸을까 Oh rewind 돌이킬수록 더 미안 포기 안 하려 포기해버린 젊고 아름다운 당신의 계절 여길 봐 예쁘게 피었으니까 바닥에 떨어지더라도 꽃길만 걷게 해줄게요 문득 쳐다본 그 입가에는 미소가 폈지만 주름이 졌죠 내게 인생을 선물해주고 사랑해란 말이 그리도 고마운가요 한 송이 꽃을 피우려 작은 두 눈에 얼마나 많은 비가 내렸을까 oh rewind 돌이킬수록 더 미안 포기 안 하려 포기해버린 젊고 아름다운 당신의 계절 여길 봐 예쁘게 피었으니까 바닥에 떨어지더라도 꽃길만 걷게 해줄게요 겨울이 와도 마음속에 봄 향기가 가득한 건 한결같이 시들지 않는 사랑 때문이죠 oh rewind 짧은 바람 같던 시간 날 품에 안고 흔들림 없는 화분이 되어준 당신의 세월 여길 봐 행복만 남았으니까 다 내려놓고 이 손잡아요 꽃길만 걷게 해줄게요  ,indifference
 오늘 밤 바라본 저 달이 너무 처량해 너도 나처럼 외로운 텅 빈 가슴 안고 사는구나 텅 빈 방 안에 누워 이 생각 저런 생각에 기나긴 한숨 담배 연기 또 하루가 지나고 하나 되는 게 없고 사랑도 떠나가 버리고 술 잔에 비친 저 하늘의 달과 한 잔 주거니 받거니 이 밤이 가는구나 오늘 밤 바라본 저 달이 너무 처량해 너도 나처럼 외로운 텅 빈 가슴 안고 사는구나 가끔 비가 내리면 구름에 니 모습이 가려 어두운 거리 또 쓸쓸해지네 텅 빈 이 거리 오늘도 혼자서 걸어가네 오늘 밤 바라본 저 달이 너무 처량해 너도 나처럼 외로운 텅 빈 가슴 안고 사는구나 오늘 밤 바라본 저 달이 너무 처량해 너도 나처럼 외로운 텅 빈 가슴 안고 사는구나 슬픈 추억 안고 사는구나 텅 빈 가슴 안고  ,indifference
아무 말 하지 않아도 그대 눈빛을 보면 전해지는 시린 마음 깊게 잠긴 목소리 옅은 그 미소는 긴 하루를 보여주네 지친 모습도 보이고 싶지 않아서 애써 웃는 거 다 알아 난 항상 이 자리예요 어김없이 찾아올 보랏빛 노을처럼 비록 내 품이 좁더라도 안아줄게요 그대 없는 순간마다 느껴지는 빈자리 차오르는 공허함 몰아치는 빗소리 거친 바람에도 넓은 그늘이 되어주네 어떤 아픔도 들키고 싶지 않아서 애써 웃는 거 다 알아 난 항상 이 자리예요 어김없이 찾아올 보랏빛 노을처럼 비록 내 품이 좁더라도 안아줄게요 안녕 내가 안아줄게요 편히 쉬어요 ,indifference
네모난 침대에서 일어나 눈을 떠보면 네모난 창문으로 보이는 똑같은 풍경 네모난 문을 열고 네모난 테이블에 앉아 네모난 조간신문 본뒤 네모난 책가방에 네모난 책들을 넣고 네모난 버스를 타고 네모난 건물지나 네모난 학교에 들어서면 또 네모난 교실 네모난 칠판과 책상들 네모난 오디오 네모난 컴퓨터 TV 네모난 달력에 그려진 똑같은 하루를 의식도 못한채로 그냥 숨만 쉬고 있는걸 주윌 둘러보면 모두 네모난 것들 뿐인데 우린 언제나 듣지 잘난 어른의 멋진 이 말 세상은 둥글게 살아야 해 지구본을 보면 우리 사는 지군 둥근데 부속품들은 왜 다 온통 네모난건지 몰라 어쩌면 그건 네모의 꿈일지 몰라 네모난 아버지의 지갑엔 네모난 지폐 네모난 팜플렛에 그려진 네모난 학원 네모난 마루에 걸려 있는 네모난 액자와 네모난 명함의 이름들 네모난 스피커 위에 놓인 네모난 테잎 네모난 책장에 꽂혀있는 네모난 사전 네모난 서랍속에 쌓여있는 네모난 편지 이젠 네모같은 추억들 네모난 태극기 하늘 높이 펄럭이고 네모난 잡지에 그려진 이달의 운수는 희망없는 나에게 그나마의 기쁨인가봐 주윌 둘러보면 모두 네모난 것들 뿐인데 우린 언제나 듣지 잘난 어른의 멋진 이 말 세상은 둥글게 살아야해 지구본을 보면 우리 사는 지군 둥근데 부속품들은 왜 다 온통 네모난 건지 몰라 어쩌면 그건 네모의 꿈일지 몰라 ,indifference
이슬비가 내리는 오늘은 사랑하는 그대의 생일날 온종일 난 그대를 생각하면서 무엇을 할까 고민했죠 난 가까운 책방에 들러서 예쁜 시집에 내 맘 담았죠 그 다음엔 근처 꽃집으로 가서 빨간 장미 한 송일 샀죠 내려오는 비를 맞으며 그대에게 가는 길 너무 상쾌해 품 속에는 장미 한 송이 책 한 권과 그댈 위한 깊은 내 사랑 아름다운 그대를 만난 건 하느님께 감사드릴 우연 작은 내 맘 알아주는 그대가 있기에 이 세상이 난 행복해 Lalalala lala Durudu dururu dudu 난 가까운 책방에 들러서 예쁜 시집에 내 맘 담았죠 그 다음엔 근처 꽃집으로 가서 빨간 장미 한 송일 샀죠 내려오는 비를 맞으며 그대에게 가는 길 너무 상쾌해 품 속에는 장미 한 송이 책 한 권과 그댈 위한 깊은 내 사랑 아름다운 그대를 만난 건 하느님께 감사드릴 우연 작은 내 맘 알아주는 그대가 있기에 이 세상이 난 행복해 너무너무나 행복해 Happy birthday to you ,indifference
얼마나 기다렸나 너절한 과거와 이별할 그 날을 홀로의 계절을 박차고 나와서 우리로 만날 날을 얼마나 기다렸나 해묵은 기억과 이별할 그 날을 옛날의 그이는 묻어두고 새로이 태어나는 날을 인생을 안다면 신선이라 어찌 사람이겠소 배 위에 이 한 몸 올랐으니 어디라도 가보자 oh 닻을 올려 어기야디여차 나가자 비탄으로 뒤덮인 땅은 뒤로하고 소리 높여 어기야디여차 노래해 찾아가 또 다른 시작을 하게 될 그곳을 품 안에 희망을 안았어도 어찌 안온하겠소 어쨌거나 돛을 펼쳤으니 어디로든 떠나자 oh 닻을 올려 어기야디여차 나가자 불안으로 뒤덮인 땅은 뒤로하고 소리 높여 어기야디여차 노래해 찾아가 또 다른 매일을 살아낼 그곳을 닻을 올려 어기야디여차 나가자 그림자들에게는 안녕을 고하고 소리 높여 어기야디여차 노래해 찾아가 또 다른 우리를 기다릴 그곳에 ,indifference
그대 떠난 여기 노을진 산마루턱엔 아직도 그대 향기가 남아서 이렇게 서있소 나를 두고 가면 얼마나 멀리 가려고 그렇게 가고 싶어서 나를 졸랐나 그대여 나의 어린애 그대는 휘파람 휘이히 불며 떠나가 버렸네 그대여 나의 장미여 사랑하는 그대 내곁을 떠나갈적엔 그래도 섭섭했었나 나를 보며 눈물흘리다 두손잡고 고개 끄덕여 달라 하기에 그렇게 하기 싫어서 나도 울었네 그대여 나의 어린애 그대는 휘파람 휘이히 불며 떠나가 버렸네 그대여 나의 장미여 그대여 나의 어린애 그대는 휘파람 휘이히 불며 떠나가 버렸네 그대여 그대여 그대여 그대여 나의 장미여 ,indifference
유난히 밝은 달 거대한 원형 속에 보이네 너의 미소 샤워하고 걸쳐 두른 샤워가운 베란다로 나와 자막 없이 밤하늘 보고 번역 없는 바람 소릴 듣지 눈물이 고이네 슬퍼서 달이 너무 슬퍼서 비가 오면 좋겠어 오늘 밤엔 유난히 밝은 달 거대한 원형 속에 보이네 너의 미소 나도 살짝 웃어 보이면 저 달에 비칠까 적당히 습한 공기가 너의 손길 같아 심야 깊은 밤의 온기가 너의 말투 같아 귀 기울이면 눈물이 고이네 슬퍼서 달이 너무 슬퍼서 네가 오면 좋겠어 오늘 밤엔 유난히 밝은 달 거대한 원형 속에 보이네 너의 미소 나도 살짝 웃어 보이면 저 달에 비칠까 유난히 밝은 달 우리가 유일하게 공유하는 것 아직도 나도 살짝 웃어 보이면 샤워하고 걸쳐 두른 네 향기 난 오늘도 달에 밤 인사를 건네 음소거로 소리 없이 흐느낀 난 오늘도 달에 밤 인사를 건네 샤워하고 걸쳐 두른 네 향기 난 오늘도 달에 밤 인사를 건네 음소거로 소리 없이 흐느낀 난 오늘도 달에 밤 인사를 건네 ,indifference
붙들 수 없는 꿈의 조각들은 하나 둘 사라져 가고 쳇바퀴 돌 듯 끝이 없는 방황에 오늘도 매달려 가네 거짓인줄 알면서도 겉으론 감추며 한숨 섞인 말 한 마디에 나만의 진실 담겨 있는 듯 이제와 뒤늦게 무엇을 더 보태려 하나 귀 기울여 듣지 않고 달리 보면 그만인 것을 못 그린 내 빈 곳 무엇으로 채워 지려나 차라리 내 마음에 비친 내 모습 그려가리 엇갈림 속의 긴 잠에서 깨면 주위엔 아무도 없고 묻진 않아도 나는 알고 있는 곳 그 곳에 가려고 하네 근심 쌓인 순간들을 힘겹게 보내며 지워버린 그 기억들을 생각해내곤 또 잊어버리고 이제와 뒤늦게 무엇을 더 보태려 하나 귀 기울여 듣지 않고 달리 보면 그만인 것을 못 그린 내 빈 곳 무엇으로 채워지려나 차라리 내 마음에 비친 내 모습 그려가리 이제와 뒤늦게 무엇을 더 보태려 하나 귀 기울여 듣지 않고 달리 보면 그만인 것을 못 그린 내 빈 곳 무엇으로 채워지려나 차라리 내 마음에 비친 내 모습 그려가리 ,indifference
어리다고 안 힘든 줄 아는 어른들 어릴 때가 편하다고 하는 너희들 좋을 때라 좋아야만 하는 건 아니야 아침 7시에 일어나 학교 가고 졸린 눈 비벼가며 도착해도 오늘 하루가 막막해 학교 끝나고 또 학원 마쳐도 잔뜩 쌓여있는 숙제 발자국 소리가 큰 우린 뛰어놀고 싶은걸 뛰어보자 행복은 학교와 학원 사이 놀러 가자 웃음은 친구와 친구 사이에 숨어 있는 걸 우리와 함께 찾을래 행복을 초대형으로 사회 과학 수학 국어 영어 방과 후 음악 미술 체육 도덕까지 전 과목 공부하는 우리는 어른보다 바빠요 시험 기간에는 잘 시간도 모자라 이런 일상도 언제쯤이면 끝날까 오늘 하루도 그렇게 학교 끝나고 또 학원 마쳐도 잔뜩 쌓여있는 숙제 발자국 소리가 큰 우린 뛰어놀고 싶은걸 뛰어보자 행복은 학교와 학원 사이 놀러 가자 웃음은 친구와 친구 사이에 숨어 있는 걸 우리와 함께 찾을래 행복을 초대형으로 발걸음이 무겁지 하고 싶은 건 많은데 두렵기만 해 어깨 좀 펴고 웃어봐 웃다 보면 좋은 날이 올 거야 (슈뻘맨이여 영원하라) 행복하자 웃음은 친구와 친구 사이 웃어볼까 행복은 웃음과 웃음 사이 에서 기다리는 걸 우리와 함께 만들래 행복을 초대형으로 행복하자 웃음은 행복과 행복 사이 웃어볼까 행복은 웃음과 웃음 사이 에서 기다리는 걸 우리와 함께 만들래 행복을 초대형으로 ,indifference
안녕 오래 기다렸니  지루했지 I run and I run and I run and I run  나 지금 기분이 딱 완벽해  나를 시무룩하게 만들 생각은 마 에나멜 플랫 슈즈 위 따다닥 빨간 뾰족구두를 신고 또각 키가 큰 거울 앞에 다가가 한 바퀴 사뿐히 빙그르르 아직 춤춰요 Mr 분홍신 앞코를 부딪혀 like 도로시 발에 꼭 맞는 새 신을 신고 너에게 갈 준비됐어 설레 아이쿠 내 맘속에 작은 소용돌이 살랑 달큰한 바람은 나를 들뜨게 높은 계단 좁은 골목 난 어디든 가 내 마음에 꼭 맞는 새 신발을 신고 오늘 컨디션은 어떠니 하루 종일 나랑 여기 거기 또 저기 갈 준비됐니  단단히 맘먹었지 혹시나 일찍 집에 들어갈 생각은 마 근사한 음악소리 빠라밤 심장은 리듬이 돼요 빠담 우리랑 같이 춤춰요 마담 한 바퀴 사뿐히 빙그르르 들뜬 기분으로 아니마토 여기선 좀 더 빨리 가볼까 알레그로 특별히 신경 써서 아첸토 코러스부터 다시 한 번 설레 아이쿠 내 맘속에 작은 소용돌이 살랑 달큰한 바람은 나를 들뜨게 높은 계단 좁은 골목 난 어디든 가 내 마음에 꼭 맞는 새 신을 신고 얼마나 좋니 파란 하늘 아래서 사랑하기 완벽한 날이지 왼손을 꼭 잡아줘 지금부터는 달릴 거야 설레 아이쿠 내 맘속에 하얀 바람개비 싱그르 웃는 손톱달이 뜰 때까지 높은 계단 좁은 골목 난 어디든 가 한 걸음 또 한 걸음 온 세상을 걷자 설레 아이쿠 내 맘속에 작은 소용돌이 살랑 달큰한 바람은 나를 들뜨게 높은 계단 좁은 골목 난 어디든 가 내 마음에 꼭 맞는 새 신발을 신고 ,indifference
별이 쏟아지는 해변으로 가요 해변으로 가요 젊음이 넘치는 해변으로 가요 해변으로 가요 달콤한 사랑을 속삭여줘요 연인들에 연인들에 해변으로 가요 해변으로 가요 사랑한다는 사랑한다는 말은 안해도 말은 안해도 나는 나는 행복에 묻힐거예요 가겠어 가고야 말겠어 요번에 노란 바다에 바다에 가겠어 왜냐고라고 흥 묻는넌 바보 우리가 왜 가는지 모른다면 너는 바보 별이 쏟아지는 해변으로 가요 해변으로 가요 젊음이 넘치는 해변으로 가요 해변으로 가요 달콤한 사랑을 속삭여줘요 흐 흐 ONE TWO 흐 흐 COME ON YO 흐 흐 ONE TWO 흐 흐 ONE TWO 여름엔 여름엔 해변으로가 우리주위를 둘러봐 갈 때 놀때도 없어 생활이 짜증나지 흥 싫증이나지 여름엔 여름엔 해변으로가 왔어 왔어 왔어 우리가 바다에 왔어 아름다운 그녀들과 난 파도를 탔어 옆 커다란 파도에 우리들은 흠뻑 젖었어 여름엔 해변에서 파도를 타요 사랑을 해요 별이 쏟아지는 해변으로 가요 해변으로 가요 젊음이 넘치는 해변으로 가요 해변으로 가요 달콤한 사랑을 속삭여줘요 달콤한 사랑을 속삭여줘요 ,indifference
이게 뭐야 이 여름에 방안에만 처박혀 있어 안 되겠어 우리 그냥 이쯤에서 내 품에서 흘린 눈물 너만큼 나 힘이 들어 잃어버린 너의 미소 찾을 수 없을까 안녕하고 돌아서는 그건 아니잖아 사랑을 위한 여행을 하자 바닷가로 빨리 떠나자 야 야 야 야 바다로 그동안의 아픔들 그 속에 모두 버리게 이게 아니야 우린 사랑했잖아 이제 다신 눈물 없는 사랑으로 만들어봐 돌아가면 나 역시도 혼자될 거라고 새벽이 오는 바다에 앉아 얘길 했지 해변의 여인 야 야 야 야 그녀와 떠오르는 태양을 우리는 함께 본 거야 기다리지 마 이제서야 만났어 이제 다신 이별 없는 사랑으로 만들 거야 야 야 야 야 바다로 그동안의 아픔들 그 속에 모두 버리게 이게 아니야 우린 사랑했잖아 이제 다신 눈물 없는 사랑으로 만들어봐 ,indifference
